sequence_id,speaker,webpage,affil,affil_link,img,affil2,affil2_link,title,time
7,Contributed Speakers,,,,,,,Lightning Talks,13:30 - 14:30
8,-,,,,,,,Coffee Break,14:30 - 15:00
9,Biswajit Khara/Chih-Hsuan (Bella) Yang,,Iowa State University,,,,,SciML Tutorial (Hands-On),15:00 - 17:00
