sequence_id,speaker,webpage,affil,affil_link,img,affil2,affil2_link,title,time
0,Rose Yu,https://roseyu.com/,"University of California, San Diego",,Rose-Yu.jpg,,,Invited Talk 4,09:00 - 09:30
1,Baskar Ganapathysubramanian,https://www.me.iastate.edu/bglab/,Iowa State University,,Baskar.jpg,,,Invited Talk 5,09:30 - 10:00
2,,,,,,,,Coffee Break,10:00 - 10:30
3,Krithika Manohar,https://www.krithikamanohar.com/,University of Washington,,Krithika-Manohar.jpg,,,Invited Talk 6,10:30 - 11:00
4,Pratyush Tiwary,https://sites.google.com/site/pratyushtiwary/,University of Maryland,,Pratyush-Tiwary.jpg,,,Invited Talk 7,11:00 - 11:30
5,Panelists (all the invited speakers),,,,,,,Panel Discussion,11:30 - 12:15
6,,,,,,,,Closing,12:15 - 12:30
